esco_uri,name,slug,kind,aliases,description,esco_skill_type,source
http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,Communication,communication,soft,"communiquer","Exchange and transmission of information and ideas",knowledge,esco
http://data.europa.eu/esco/skill/d5145a9a-602e-40bf-b3e1-f04cf9c3ef86,Leadership,leadership,soft,"management principles;commandement","Traits and values guiding leaders",knowledge,esco
http://data.europa.eu/esco/skill/a3ce2bf7-5562-4639-9b52-fdb4850a3904,Problem Solving,problem-solving,soft,"","Identifying root-cause solutions to issues",knowledge,esco
http://data.europa.eu/esco/skill/1af2db15-2af9-44dd-9639-bf1fc69d4c34,Stakeholder Management,stakeholder-management,functional,"gestion des parties prenantes","Managing relationships with project stakeholders",skill,esco
http://data.europa.eu/esco/skill/1177c6f5-09c5-4c35-873c-afd22d170ad3,Quality Assurance,quality-assurance,methodology,"QA;quality control","Inspection of products and systems for quality",knowledge,esco
http://data.europa.eu/esco/skill/5d74614d-32c8-4ca4-9818-6980e52424b1,Software Testing,software-testing,technical,"test logiciel;QA testing","Planning and executing software tests",skill,esco
http://data.europa.eu/esco/skill/69bbd53f-fbb0-4476-b4b2-ef7844464e28,Web Development,web-development,technical,"HTML;XML;XHTML;web programming","Programming for web browsers and servers",knowledge,esco
http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,Software Development Lifecycle,software-development-lifecycle,methodology,"SDLC;cycle de developpement logiciel","Phases from planning to deployment of software",knowledge,esco
http://data.europa.eu/esco/skill/2164e860-7f20-48bc-b98c-5d9f8a561550,Network Design,network-design,technical,"WAN;LAN;reseau informatique","Designing and planning ICT networks",skill,esco
http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1,Cloud Computing,cloud-computing,technical,"informatique en nuage;cloud migration","Planning and executing migration to cloud infrastructure",skill,esco
http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,Data Analysis,data-analysis,technical,"analyse de donnees","Analysing data to derive insights and understand behaviour",skill,esco
http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby,ruby,technical,"Ruby lang;Ruby prog","General-purpose programming language",knowledge,esco
http://data.europa.eu/esco/skill/5b9cde20-f1b9-4adc-bfb3-dbf70b14138d,Object-Oriented Programming,object-oriented-programming,technical,"OOP;POO","Programming paradigm based on objects and classes",skill,esco
http://data.europa.eu/esco/skill/54d774a3-de3b-4425-b0d7-c03bc99a0937,Cybersecurity Program Design,cybersecurity-program-design,functional,"cybersecurity training","Designing and implementing cybersecurity education programs",skill,esco
,Docker,docker,tool,"containerisation;containers","Container platform for packaging applications",,manual
,Kubernetes,kubernetes,tool,"K8s;container orchestration","Container orchestration platform",,manual
,Scrum,scrum,methodology,"Scrum master;sprint planning","Agile iterative development framework",,manual
,Kanban,kanban,methodology,"","Visual workflow management method",,manual
,Git,git,tool,"version control;VCS","Distributed version control system",,manual
,GitHub,github,tool,"","Code hosting and collaboration platform",,manual
,CI/CD,ci-cd,tool,"continuous integration;continuous deployment;Jenkins;GitLab CI","Continuous integration and delivery practices",,manual
,Apache Kafka,apache-kafka,technical,"Kafka;event streaming","Distributed event streaming platform",,manual
,Apache Spark,apache-spark,technical,"Spark;PySpark","Unified analytics engine for large-scale data",,manual
,Terraform,terraform,tool,"IaC;Infrastructure as Code","Infrastructure automation and provisioning tool",,manual
,React,react,technical,"ReactJS;React.js","JavaScript library for building user interfaces",,manual
,Vue.js,vue-js,technical,"Vue;VueJS","Progressive JavaScript framework",,manual
,Angular,angular,technical,"Angular 2+","TypeScript-based web application framework",,manual
,Django,django,technical,"DRF;Django REST Framework","Python web framework",,manual
,FastAPI,fastapi,technical,"","Modern Python async web framework",,manual
,PyTorch,pytorch,technical,"","Open-source machine learning framework",,manual
,dbt,dbt,tool,"data build tool","Analytics engineering transformation tool",,manual
,scikit-learn,scikit-learn,technical,"sklearn","Machine learning library for Python",,manual
,Elasticsearch,elasticsearch,technical,"ELK;OpenSearch","Distributed search and analytics engine",,manual
,Redis,redis,technical,"","In-memory key-value data store",,manual
,MongoDB,mongodb,technical,"","Document-oriented NoSQL database",,manual
,Spring Boot,spring-boot,technical,"Spring;Spring Framework","Java-based framework for microservices",,manual
,Linux,linux,tool,"GNU/Linux;Linux OS","Open-source operating system kernel",,manual
,SAFe,safe,methodology,"Scaled Agile Framework","Enterprise-scale Agile framework",,manual
